url,full_title_tesim,spotlight_upload_description_tesim,spotlight_upload_attribution_tesim,spotlight_upload_date_tesim
"https://upload.wikimedia.org/wikipedia/commons/8/83/The_Sun_in_white_light.jpg","Sun","The brightest and most massive object in the Solar System. Image License: CC BY-SA 4.0","Matúš Motlo","8 May 2019"
"https://upload.wikimedia.org/wikipedia/commons/4/4a/Mercury_in_true_color.jpg","Mercury","A rocky planet with the shortest orbital period. Image License: Public Domain","NASA/Johns Hopkins University Applied Physics Laboratory/Arizona State University/Carnegie Institution of Washington","6 October 2008"
"https://upload.wikimedia.org/wikipedia/commons/b/b2/Venus_2_Approach_Image.jpg","Venus","A cloud-enshrouded planet with the hottest surface temperature of any planet. Image License: Public Domain","NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington","2008"
"https://upload.wikimedia.org/wikipedia/commons/c/cb/The_Blue_Marble_%28remastered%29.jpg","Earth","The big rock we live on. Image License: Public Domain","NASA/Apollo 17 crew","December 7, 1972"
"https://upload.wikimedia.org/wikipedia/commons/0/0c/Mars_-_August_30_2021_-_Flickr_-_Kevin_M._Gill.png","Mars","The red planet. Image License: Creative Commons Attribution 2.0 Generic","Kevin Gill","January 3, 2022"
"https://upload.wikimedia.org/wikipedia/commons/7/76/Ceres_-_RC3_-_Haulani_Crater_%2822381131691%29_%28cropped%29.jpg","Ceres","The largest asteroid in the Solar System. Image License: Public Domain","NASA/Justin Cowart","May 4, 2015"
"https://upload.wikimedia.org/wikipedia/commons/c/c1/Jupiter_New_Horizons.jpg","Jupiter","The largest planet in the Solar System. Image License: Public Domain","NASA/Johns Hopkins University Applied Physics Laboratory/Southwest Research Institute - National Aeronautics and Space Administration","January 24, 2007"
"https://upload.wikimedia.org/wikipedia/commons/c/c7/Saturn_during_Equinox.jpg","Saturn","Beautiful ringed planet, which is second-largest in the Solar System. Image License: Public Domain","NASA / JPL / Space Science Institute","23 July 2008"
"https://upload.wikimedia.org/wikipedia/commons/6/69/Uranus_Voyager2_color_calibrated.png","Uranus","The first planet discovered in historical times by William Herschel in 1781. Image License: CC0","NASA/Ardenau4","1986-01-23"
"https://upload.wikimedia.org/wikipedia/commons/b/b9/Neptune_Voyager2_color_calibrated.png","Neptune","The third-largest planet and densest gas giant, eighth from the Sun. Discovered in 1846. Image License: CC0","NASA / Voyager 2 / PDS / OPUS / Ardenau4","1989-08-17"
"https://upload.wikimedia.org/wikipedia/commons/e/ef/Pluto_in_True_Color_-_High-Res.jpg","Pluto","A dwarf planet. Discovered by Clyde Tombaugh in 1930. Image License: Public Domain","NASA/Johns Hopkins University Applied Physics Laboratory/Southwest Research Institute/Alex Parker","July 14, 2015"
